Player,Pos,Age,Tm,G,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G,Season
Lorenzen Wright\wrighlo02,C,33,CLE,17,,0.37,0.37,0.375,1.5,0.2,0.2,0.3,0.5,1.4,08~09
Chris Wilcox\wilcoch01,C,26,TOT,62,0,0.503,0.497,0.564,4.5,0.8,0.4,0.3,1.2,7.2,08~09
Rasheed Wallace\wallara01,C,34,DET,66,0.354,0.471,0.498,0.772,7.4,1.4,0.9,1.3,0.9,12,08~09
Jake Voskuhl\voskuja01,C,31,TOR,38,,0.267,0.267,0.786,1.6,0.2,0.1,0.1,0.4,0.9,08~09
Ronny Turiaf\turiaro01,C,26,GSW,79,0,0.512,0.508,0.79,4.6,2.1,0.4,2.1,0.9,5.9,08~09
Etan Thomas\thomaet01,C,30,WAS,26,,0.485,0.485,0.696,2.5,0.2,0.1,0.7,0.7,3.1,08~09
Robert Swift\swiftro01,C,23,OKC,26,,0.521,0.521,0.75,3.4,0.3,0.2,0.7,0.3,3.3,08~09
Marreese Speights\speigma01,C,21,PHI,79,0.25,0.506,0.504,0.773,3.7,0.4,0.3,0.7,0.6,7.7,08~09
Darius Songaila\songada01,C,30,WAS,77,0,0.533,0.532,0.889,2.9,1.2,0.8,0.3,1,7.4,08~09
Joe Smith\smithjo02,C,33,TOT,57,0.429,0.469,0.473,0.72,4.6,0.7,0.3,0.7,0.4,6.6,08~09
Courtney Sims\simsco01,C,25,TOT,2,,0.5,0.5,,2,0,0,0,0.5,3,08~09
Mouhamed Sene\senesa01,C,22,TOT,6,,0.667,0.667,0.8,2.3,0,0.2,0.5,0.7,3.3,08~09
Brian Scalabrine\scalabr01,C,30,BOS,39,0.393,0.453,0.526,0.889,1.3,0.5,0.2,0.3,0.3,3.5,08~09
Cheikh Samb\sambch01,C,24,TOT,18,0,0.207,0.188,0.429,1.3,0.1,0.2,0.6,0.2,0.8,08~09
Theo Ratliff\ratlith01,C,35,PHI,46,,0.531,0.531,0.6,2.8,0.2,0.4,1,0.3,1.9,08~09
Joel Przybilla\przybjo01,C,29,POR,82,0,0.627,0.625,0.663,8.7,0.3,0.4,1.2,1,5.5,08~09
Johan Petro\petrojo01,C,23,TOT,49,0,0.42,0.415,0.552,3.2,0.3,0.4,0.3,0.6,3.3,08~09
Kendrick Perkins\perkike01,C,24,BOS,76,0,0.58,0.577,0.6,8.1,1.3,0.3,2,2.2,8.5,08~09
Oleksiy Pecherov\pecheol01,C,23,WAS,32,0.326,0.431,0.455,0.828,2.4,0.1,0.2,0.1,0.3,3.6,08~09
Zaza Pachulia\pachuza01,C,24,ATL,77,0,0.502,0.497,0.709,5.7,0.7,0.5,0.3,1.2,6.2,08~09
Mehmet Okur\okurme01,C,29,UTA,72,0.446,0.497,0.536,0.817,7.7,1.7,0.8,0.7,1.8,17,08~09
Emeka Okafor\okafoem01,C,26,CHA,82,,0.561,0.561,0.593,10.1,0.6,0.6,1.7,1.8,13.2,08~09
Greg Oden\odengr01,C,21,POR,61,,0.564,0.564,0.637,7,0.5,0.4,1.1,1.4,8.9,08~09
Fabricio Oberto\obertfa01,C,33,SAS,54,0,0.592,0.587,0.571,2.6,1.1,0.1,0.2,0.7,2.6,08~09
Shaquille O'Neal*\onealsh01,C,36,PHO,75,0,0.61,0.609,0.595,8.4,1.7,0.7,1.4,2.2,17.8,08~09
Jermaine O'Neal\onealje01,C,30,TOT,68,0,0.475,0.474,0.788,6.4,1.8,0.4,2,2.1,13.3,08~09
Patrick O'Bryant\obryapa01,C,22,TOT,39,0,0.549,0.536,0.55,1.7,0.3,0.2,0.5,0.6,2.6,08~09
Joakim Noah\noahjo01,C,23,CHI,80,0,0.558,0.556,0.676,7.6,1.3,0.6,1.4,1,6.7,08~09
Rasho Nesterovic\nestera01,C,32,IND,70,0,0.514,0.513,0.781,3.4,1.6,0.4,0.5,0.9,6.8,08~09
Dikembe Mutombo*\mutomdi01,C,42,HOU,9,,0.385,0.385,0.667,3.7,0,0,1.2,0.7,1.8,08~09
Randolph Morris\morrira01,C,23,ATL,23,,0.412,0.412,1,0.9,0.1,0.1,0,0.3,0.8,08~09
Nazr Mohammed\mohamna01,C,31,CHA,39,,0.406,0.406,0.55,2,0.2,0.1,0.4,0.6,2.7,08~09
Yao Ming*\mingya01,C,28,HOU,77,1,0.548,0.549,0.866,9.9,1.8,0.4,1.9,3,19.7,08~09
Brad Miller\millebr01,C,32,TOT,70,0.411,0.482,0.494,0.824,7.8,3.3,0.7,0.5,1.9,11.9,08~09
Darko Milicic\milicda01,C,23,MEM,61,,0.515,0.515,0.562,4.3,0.6,0.4,0.8,0.8,5.5,08~09
Chris Mihm\mihmch01,C,29,LAL,18,,0.375,0.375,0.857,1.9,0.6,0.1,0.3,0.6,2,08~09
JaVale McGee\mcgeeja01,C,21,WAS,75,,0.494,0.494,0.66,3.9,0.3,0.4,1,0.8,6.5,08~09
Jason Maxiell\maxieja01,C,25,DET,78,0,0.577,0.575,0.532,4.2,0.3,0.3,0.8,0.6,5.8,08~09
Sean Marks\marksse01,C,33,NOH,60,0.2,0.503,0.491,0.682,3.1,0.2,0.1,0.6,0.6,3.2,08~09
Jamaal Magloire\magloja01,C,30,MIA,55,,0.496,0.496,0.483,4,0.4,0.2,0.5,0.6,2.9,08~09
Mark Madsen\madsema01,C,33,MIN,19,,0.214,0.214,0,0.9,0.2,0.1,0.1,0.2,0.3,08~09
Kevin Love\loveke01,C,20,MIN,81,0.105,0.469,0.461,0.789,9.1,1,0.4,0.6,1.5,11.1,08~09
Robin Lopez\lopezro01,C,20,PHO,60,0,0.522,0.518,0.691,2,0.1,0.2,0.7,0.5,3.2,08~09
Brook Lopez\lopezbr01,C,20,NJN,82,0,0.532,0.531,0.793,8.1,1,0.5,1.8,1.8,13,08~09
David Lee\leeda02,C,25,NYK,81,0,0.551,0.549,0.755,11.7,2.1,1,0.3,1.9,16,08~09
Nenad Krstic\krstine01,C,25,OKC,46,,0.469,0.469,0.797,5.5,0.6,0.5,1.1,1,9.7,08~09
Kosta Koufos\koufoko01,C,19,UTA,48,,0.508,0.508,0.706,2.9,0.4,0.3,0.6,0.5,4.7,08~09
Chris Kaman\kamanch01,C,26,LAC,31,,0.528,0.528,0.68,8,1.5,0.5,1.5,2.7,12,08~09
DeAndre Jordan\jordade01,C,20,LAC,53,,0.633,0.633,0.385,4.5,0.2,0.2,1.1,0.8,4.3,08~09
Solomon Jones\jonesso01,C,24,ATL,63,0.5,0.606,0.608,0.716,2.3,0.2,0.1,0.5,0.4,3,08~09
Al Jefferson\jeffeal01,C,24,MIN,50,0,0.499,0.497,0.738,11,1.6,0.8,1.7,1.8,23.1,08~09
Jerome James\jamesje01,C,33,NYK,2,,0.375,0.375,,1.5,0,0.5,0.5,0.5,3,08~09
